trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,shape_dist_traveled
1620299500968793,05:00:00,05:00:00,1713,1,,
1620299500968793,05:03:00,05:03:00,1831,2,,
1620299500968793,05:05:00,05:05:00,1830,3,,
1620299500968793,05:07:00,05:07:00,1829,4,,
1620299500968793,05:09:00,05:09:00,1913,5,,
1620299500968793,05:13:00,05:13:00,2084,6,,
1620299500968793,05:16:00,05:16:00,2053,7,,
1620299500968793,05:19:00,05:19:00,1967,8,,
1620299500968793,05:22:00,05:22:00,1956,9,,
1620299500968793,05:25:00,05:25:00,1835,10,,
1620299500968793,05:28:00,05:28:00,1631,11,,
1620299500968793,05:32:00,05:32:00,1689,12,,
1620299500968793,05:35:00,05:35:00,1837,13,,
1620299500968793,05:37:00,05:37:00,2010,14,,
1620299500968793,05:39:00,05:39:00,1652,15,,
1620299500968793,05:42:00,05:42:00,1840,16,,
1620299500968793,05:45:00,05:45:00,1839,17,,
1620299500968793,05:47:00,05:47:00,1859,18,,
1620299500968793,05:50:00,05:50:00,1636,19,,
1620299500968793,05:53:00,05:53:00,2012,20,,
1620299500968793,05:58:00,05:58:00,161468,21,,
1620299500968793,06:01:00,06:01:00,1885,22,,
1620457870968793,05:00:00,05:00:00,1713,1,,
1620457870968793,05:03:00,05:03:00,1831,2,,
1620457870968793,05:05:00,05:05:00,1830,3,,
1620457870968793,05:07:00,05:07:00,1829,4,,
1620457870968793,05:09:00,05:09:00,1913,5,,
1620457870968793,05:13:00,05:13:00,2084,6,,
1620457870968793,05:16:00,05:16:00,2053,7,,
1620457870968793,05:19:00,05:19:00,1967,8,,
1620457870968793,05:22:00,05:22:00,1956,9,,
1620457870968793,05:25:00,05:25:00,1835,10,,
1620457870968793,05:28:00,05:28:00,1631,11,,
1620457870968793,05:32:00,05:32:00,1689,12,,
1620457870968793,05:35:00,05:35:00,1837,13,,
1620457870968793,05:37:00,05:37:00,2010,14,,
1620457870968793,05:39:00,05:39:00,1652,15,,
1620457870968793,05:42:00,05:42:00,1840,16,,
1620457870968793,05:45:00,05:45:00,1839,17,,
1620457870968793,05:47:00,05:47:00,1859,18,,
1620457870968793,05:50:00,05:50:00,1636,19,,
1620457870968793,05:53:00,05:53:00,2012,20,,
1620457870968793,05:58:00,05:58:00,161468,21,,
1620457870968793,06:01:00,06:01:00,1885,22,,
1622098980968793,05:00:00,05:00:00,1713,1,,
1622098980968793,05:03:00,05:03:00,1831,2,,
1622098980968793,05:05:00,05:05:00,1830,3,,
1622098980968793,05:07:00,05:07:00,1829,4,,
1622098980968793,05:09:00,05:09:00,1913,5,,
1622098980968793,05:13:00,05:13:00,2084,6,,
1622098980968793,05:16:00,05:16:00,2053,7,,
1622098980968793,05:19:00,05:19:00,1967,8,,
1622098980968793,05:22:00,05:22:00,1956,9,,
1622098980968793,05:25:00,05:25:00,1835,10,,
1622098980968793,05:28:00,05:28:00,1631,11,,
1622098980968793,05:32:00,05:32:00,1689,12,,
1622098980968793,05:35:00,05:35:00,1837,13,,
1622098980968793,05:37:00,05:37:00,2010,14,,
1622098980968793,05:39:00,05:39:00,1652,15,,
1622098980968793,05:42:00,05:42:00,1840,16,,
1622098980968793,05:45:00,05:45:00,1839,17,,
1622098980968793,05:47:00,05:47:00,1859,18,,
1622098980968793,05:50:00,05:50:00,1636,19,,
1622098980968793,05:53:00,05:53:00,2012,20,,
1622098980968793,05:58:00,05:58:00,161468,21,,
1622098980968793,06:01:00,06:01:00,1885,22,,
1622529910968793,05:00:00,05:00:00,1713,1,,
1622529910968793,05:03:00,05:03:00,1831,2,,
1622529910968793,05:05:00,05:05:00,1830,3,,
1622529910968793,05:07:00,05:07:00,1829,4,,
1622529910968793,05:09:00,05:09:00,1913,5,,
1622529910968793,05:13:00,05:13:00,2084,6,,
1622529910968793,05:16:00,05:16:00,2053,7,,
1622529910968793,05:19:00,05:19:00,1967,8,,
1622529910968793,05:22:00,05:22:00,1956,9,,
1622529910968793,05:25:00,05:25:00,1835,10,,
1622529910968793,05:28:00,05:28:00,1631,11,,
