from_stop_id,to_stop_id,transfer_type,min_transfer_time
1809,3757203,2,228
1809,3757202,2,228
48432,3672223,2,270
1999,4035764,2,205
1999,4035763,2,198
1778,4472941,2,274
1809,3757205,2,437
1650,4472989,2,234
2126,1957,2,196
1809,3757204,2,432
1778,4472940,2,321
2077,2213,2,134
2126,1958,2,97
2077,2212,2,151
2195,3763991,2,270
1998,4036883,2,279
1998,4036884,2,270
1998,4036885,2,197
1672,4037041,2,215
2320,6041756,2,298
5682052,2348,2,228
2097,3755017,2,268
2320,6041755,2,298
1918,5355369,2,261
1918,5355368,2,314
1998,3754200,2,211
2450,5976749,2,262
5682050,2385,2,388
5122193,2095,2,207
1705,5122012,2,296
2450,5976748,2,259
2450,5151445,2,192
2450,5151446,2,192
1705,5478211,2,262
1672,3764814,2,215
1672,3893394,2,215
1672,3893395,2,261
2187,4770171,2,261
2187,4770170,2,270
48431,3666795,2,270
2103,4705601,2,291
1650,4770174,2,234
2103,4705600,2,269
2103,4705603,2,315
2103,4705602,2,289
1968,2155,2,360
1672,2167,2,300
2450,5976750,2,283
5122192,2045,2,194
1705,5122052,2,296
1998,4378089,2,223
1853,5244886,2,298
1998,4378088,2,205
4473127,2178,2,263
1809,6251680,2,253
5682063,1650,2,248
2231,5244885,2,288
1942,5161434,2,193
2530,4770191,2,248
1942,5161433,2,213
1809,6251679,2,253
5794604,1923,2,189
2187,4770192,2,210
1705,4834624,2,223
1705,4834625,2,211
2126,1910,2,360
1650,4770191,2,248
2482,4739200,2,261
1918,5761290,2,241
1866,3812968,2,220
1918,5761291,2,261
1866,3812969,2,223
1672,4651132,2,215
1866,3812970,2,225
1705,5122073,2,222
1998,5138194,2,197
2187,5138192,2,279
1998,5138195,2,223
2056,4889526,2,252
1998,5138192,2,279
2187,5138194,2,197
1998,5138193,2,270
2187,5138193,2,270
1918,4000534,2,244
2056,4889527,2,252
1918,4000533,2,314
2187,5138195,2,223
2223,2322,2,120
1650,4036877,2,248
1672,5018401,2,240
1672,5018400,2,231
2482,5018400,2,231
2482,5018401,2,240
2077,3749677,2,217
48432,3672259,2,270
5682065,1809,2,253
48431,3666756,2,270
2197,3909012,2,213
2348,3757202,2,228
2103,4179703,2,284
2103,4179702,2,267
2348,3757204,2,432
2348,3757203,2,228
1672,3764843,2,215
2348,3757205,2,437
1912,3730042,2,204
2103,4705643,2,315
2103,4705644,2,291
1912,3730041,2,221
48432,3672284,2,270
4314771,1809,2,432
3741082,1918,2,244
1866,3893356,2,208
1866,3893357,2,219
2103,3663887,2,228
2103,3663888,2,291
2077,2235,2,360
5794709,2248,2,216
5794646,1923,2,216
1923,5991337,2,292
1923,5991336,2,216
2482,3687426,2,275
48431,3672284,2,270
5122175,1705,2,265
2333,3893357,2,219
2333,3893356,2,208
4473127,1988,2,263
2387,3666664,2,257
2059,4036915,2,203
1672,3764619,2,215
2223,1166835,2,360
2077,5657280,2,274
2006,4378262,2,215
2223,1166834,2,360
2006,4378261,2,215
2045,4890534,2,205
2450,5122012,2,296
5682057,1866,2,232
5122192,2095,2,194
2045,3730668,2,197
2187,3754199,2,211
2126,3749738,2,281
2387,3678787,2,257
2187,4378089,2,223
2187,4378088,2,205
2387,3678786,2,224
2045,3730667,2,197
2195,4890513,2,270
2248,4238788,2,216
2054,3663945,2,228
2188,4035763,2,198
5976643,2450,2,296
5137996,2195,2,216
4473138,2385,2,388
1809,5121931,2,500
2077,3764652,2,205
2126,3666671,2,205
1809,5121930,2,500
2105,4889488,2,252
2105,4889489,2,252
2097,4458777,2,199
2348,6041793,2,516
2045,5231725,2,224
2348,6041794,2,500
2045,5231724,2,194
2188,4035764,2,205
4473143,1998,2,261
2054,4179702,2,267
4473128,1988,2,263
2054,4179703,2,284
2243,5150192,2,244
2237,3730042,2,204
2243,5150191,2,241
2237,3730041,2,221
2059,4036904,2,201
4473139,1775,2,353
4473144,2530,2,234
5682037,2078,2,235
2187,4651125,2,270
1866,4651130,2,232
2126,3749790,2,281
2530,4770174,2,234
5682035,1988,2,263
2348,3764102,2,500
2348,3764103,2,500
4473154,1809,2,253
1672,3716935,2,261
2482,2167,2,300
2006,4890513,2,270
2450,5122052,2,296
