from_stop_id,to_stop_id,transfer_type,min_transfer_time
4024196,1913,2,203
6187507,1829,2,184
4723846,2481,2,282
1840,3639487,2,303
1840,3639486,2,321
1835,3748067,2,199
1835,3748066,2,188
4614420,2143,2,201
3682922,1838,2,201
5478316,1671,2,282
4614503,2532,2,249
6217336,1830,2,257
4036188,1838,2,288
2211,3673588,2,263
2211,3673587,2,198
6217406,2545,2,206
4037768,2084,2,218
2238,5150163,2,220
2238,5150164,2,192
4024196,2238,2,203
3682834,1837,2,236
3616865,2010,2,211
3619405,1904,2,205
3682834,2304,2,236
5478346,2244,2,267
3663697,2481,2,310
4146147,2302,2,269
3813139,2084,2,259
4028776,1838,2,288
4037794,2084,2,207
1847,2102,2,300
1878,4023515,2,216
1878,4023516,2,216
5675644,2211,2,207
3747813,2102,2,211
4023814,2523,2,204
6187575,1670,2,238
4008849,2545,2,219
1840,3639488,2,202
4024019,1913,2,198
1840,3639489,2,197
3663622,2481,2,310
2238,1887,2,180
4024168,2238,2,245
4726919,2102,2,192
2481,4035945,2,310
4614503,1652,2,249
2306,3681607,2,209
4025059,1713,2,229
2306,3681606,2,200
1835,3748084,2,269
4473049,1829,2,273
6187509,2368,2,266
3343767,2102,2,180
1835,3748086,2,202
4037747,1913,2,199
1835,3748085,2,277
3687692,1631,2,222
4037173,2302,2,210
5478357,2024,2,299
4723887,2024,2,299
3686062,2198,2,197
1956,3673588,2,263
4024842,2238,2,220
1956,3673587,2,198
3813139,2545,2,259
4473050,2368,2,266
4614461,2532,2,249
3619405,2300,2,205
1840,3681630,2,198
1840,3681631,2,204
1840,3681632,2,303
4798797,1838,2,298
1913,4024844,2,220
1839,4208561,2,209
1839,4208560,2,200
3619473,2300,2,191
5675598,2123,2,247
1913,4024843,2,254
3677679,1859,2,217
5231571,2499,2,230
3682940,2304,2,211
4037174,1835,2,193
5478357,2143,2,299
6401893,2499,2,305
4024110,2238,2,220
4723886,2024,2,215
3747837,1956,2,189
3740325,2084,2,274
1967,2220,2,480
4036206,1956,2,207
5231565,1837,2,249
2068,1956,2,900
2480,4035021,2,238
5478423,1904,2,237
5231651,1689,2,208
3926212,2102,2,192
4024457,1829,2,266
6187574,2480,2,238
4009365,2238,2,205
3677740,1839,2,207
1689,3690368,2,296
3708130,2305,2,227
1689,3690364,2,324
1689,3690363,2,297
1689,3690366,2,214
1689,3690365,2,193
5478423,2300,2,237
1835,2338,2,196
5150290,1652,2,272
2480,4035022,2,238
3639716,2307,2,303
3663610,1671,2,216
3677687,1839,2,200
4473047,1829,2,190
4180943,2024,2,220
2053,1890,2,250
3718086,2024,2,211
3813138,2545,2,278
3686596,1680,2,268
4024345,1913,2,220
6217337,1830,2,249
4022899,2545,2,233
3683476,2024,2,220
2313,2102,2,300
2511,5922163,2,255
5675682,2490,2,229
2511,5922162,2,193
4025301,2370,2,273
2370,4024934,2,217
3682862,1838,2,207
2370,4024933,2,221
3677826,1859,2,200
3708130,1838,2,227
2198,3690381,2,207
4024019,2238,2,198
3681486,2516,2,237
2024,5150150,2,216
1636,4208596,2,198
1636,4208597,2,198
2129,4208517,2,193
4037244,2302,2,199
6195714,2238,2,192
4614202,2305,2,227
4024087,2370,2,183
6187699,2368,2,184
2211,2210,2,219
2143,5150150,2,216
3663618,1848,2,200
2516,3682707,2,198
2129,4208518,2,193
2516,3682706,2,198
1956,1955,2,247
2368,4208643,2,219
4023742,1643,2,204
5138031,2102,2,217
4025044,2458,2,245
4023743,2523,2,316
4614501,1840,2,205
4024457,2368,2,266
4037262,1956,2,198
3764799,2053,2,192
5150173,1831,2,227
1166834,2222,2,480
4025059,2458,2,229
3677827,1859,2,216
4614367,1652,2,249
4022920,2238,2,210
4557335,2143,2,226
5231528,2516,2,198
4109734,1838,2,298
3663659,1848,2,216
1956,3926299,2,189
3764798,2053,2,211
1956,3926298,2,263
2306,3681673,2,209
5231656,2304,2,211
4037235,2084,2,198
4036207,2211,2,189
4614500,2307,2,205
2084,5018182,2,261
2437,1956,2,500
4028771,1943,2,197
4739166,2211,2,207
4109735,2305,2,288
2084,5018183,2,274
4614233,2129,2,205
2532,4614324,2,297
3682998,2304,2,211
5231612,2211,2,207
4614203,1838,2,216
4378330,2481,2,243
3686084,2129,2,209
5761374,2458,2,322
1956,4035990,2,189
4024169,1913,2,192
4037217,2545,2,207
1956,4035992,2,195
1956,4035991,2,263
3682882,2304,2,249
2211,3926299,2,189
1166830,1956,2,900
5761373,2458,2,224
1831,4023607,2,202
3619473,1904,2,191
4036205,2211,2,263
1831,4023608,2,206
1831,4023609,2,290
1956,4035989,2,207
1956,4035988,2,216
4798810,2304,2,257
3663693,2315,2,200
2053,3811232,2,217
4614485,1652,2,309
2211,3926298,2,263
5478316,2481,2,282
1689,3685706,2,230
3682988,2305,2,207
3877804,2458,2,201
3677826,2326,2,200
3677813,2326,2,200
1689,3685707,2,208
6187575,2480,2,238
6401770,2143,2,226
4024020,1913,2,220
3740325,2545,2,274
3663685,1671,2,216
1831,4035031,2,317
1839,3681643,2,207
4473048,1829,2,189
4473044,1830,2,317
3682809,1837,2,236
4726942,2211,2,259
5251795,2458,2,322
4037244,1835,2,199
3765257,1956,2,198
3716966,2211,2,207
3683569,2499,2,305
4745079,1840,2,207
4023742,2523,2,204
4037262,2211,2,198
4109755,1837,2,234
1166831,2211,2,900
1652,4614261,2,297
4739166,1956,2,207
1652,4614262,2,249
3682808,1837,2,211
4146147,1835,2,269
1951,1956,2,800
3682921,2305,2,207
1840,3681660,2,198
1840,3681662,2,303
1840,3681661,2,204
4022945,2084,2,198
3619838,2300,2,205
3686733,1671,2,297
6217405,2084,2,219
1966,1967,2,400
6187574,1670,2,238
4028772,2198,2,217
4024168,1913,2,245
3677812,1859,2,200
5478263,1671,2,297
2300,3619390,2,280
2300,3619391,2,205
3681448,1636,2,207
2307,3639423,2,188
2307,3639424,2,198
4024814,1913,2,210
4028878,2010,2,205
4025260,2370,2,258
3718081,2024,2,211
4024287,1713,2,234
4997023,2211,2,198
5688959,2302,2,277
4037746,2238,2,258
3687049,1848,2,211
2306,3681643,2,207
3718117,2024,2,214
1952,1956,2,800
2490,3619313,2,247
2490,3619312,2,270
4024446,2370,2,217
2068,2211,2,900
1835,3926289,2,193
3677798,2326,2,200
1840,3681686,2,216
2224141,2053,2,218
1840,3681685,2,198
4614419,2143,2,207
1835,3926288,2,210
1835,3926287,2,277
1840,3681684,2,321
1835,3926286,2,253
6401790,2499,2,305
2545,3749983,2,234
5231565,2304,2,249
2545,3749982,2,234
3686590,2490,2,268
3716895,2211,2,207
2084,2147,2,211
1855,1967,2,150
1840,3639424,2,198
2084,2148,2,94
1840,3639423,2,188
4024020,2238,2,220
3616887,2010,2,211
4996975,2211,2,220
3686596,2490,2,268
